ID,PRIOR,PROB
1,,0.145
4,,0.142
6,,0.138
5,,0.137
2,,0.049
3,,0.034
27,,0.022
47,,0.022
67,,0.02
16,,0.017
56,,0.014
5/6,,0.014
37,,0.012
164,,0.012
57,,0.012
b7,,0.012
17,,0.008
5/5,,0.007
664,,0.007
464,,0.007
57/6,,0.006
46,,0.006
66,,0.006
564,,0.006
642,,0.004
26,,0.004
36,,0.004
56/6,,0.003
b6,,0.003
364,,0.003
b3,,0.003
265,,0.003
542,,0.003
b4,,0.003
365,,0.003
7,,0.002
264,,0.002
5/2,,0.002
57/2,,0.002
665,,0.002
57/5,,0.002
57/4,,0.002
242,,0.002
77,,0.001
5,1,0.252
4,1,0.182
6,1,0.1
2,1,0.06
56,1,0.048
3,1,0.038
16,1,0.022
164,1,0.021
b7,1,0.021
464,1,0.016
27,1,0.015
5/6,1,0.015
47,1,0.013
5/5,1,0.012
364,1,0.012
67,1,0.009
17,1,0.009
57,1,0.009
142,1,0.007
564,1,0.007
37,1,0.007
b3,1,0.006
57/6,1,0.005
b6,1,0.004
46,1,0.004
57/4,1,0.004
242,1,0.003
7,1,0.003
b4,1,0.003
L7,1,0.003
5/3,1,0.002
66,1,0.002
665,1,0.002
57/5,1,0.002
542/4,1,0.002
7/2,1,0.002
5/2,1,0.002
265,1,0.002
M17,1,0.002
36,1,0.002
b5,1,0.002
L27,1,0.001
542,1,0.001
M142,1,0.001
564/6,1,0.001
L242,1,0.001
26,1,0.001
1,4,0.289
5,4,0.288
6,4,0.096
2,4,0.048
3,4,0.044
16,4,0.036
5/6,4,0.021
47,4,0.01
27,4,0.01
67,4,0.009
164,4,0.009
b7,4,0.008
57,4,0.008
664,4,0.007
b4,4,0.007
464,4,0.007
46,4,0.005
37,4,0.005
542,4,0.005
7/5,4,0.004
442,4,0.004
5/5,4,0.004
57/6,4,0.003
56,4,0.003
b3,4,0.003
b6,4,0.003
564,4,0.002
365,4,0.002
26,4,0.002
36,4,0.002
7,4,0.002
56/5,4,0.002
265,4,0.001
56/6,4,0.001
L4,4,0.001
D3,4,0.001
165,4,0.001
b46,4,0.001
464/4,4,0.001
D47,4,0.001
77,4,0.001
L27,4,0.001
642,4,0.001
4,6,0.232
5,6,0.202
1,6,0.106
2,6,0.063
3,6,0.06
56,6,0.022
47,6,0.021
664,6,0.02
642,6,0.017
5/6,6,0.017
66,6,0.014
164,6,0.014
27,6,0.013
67,6,0.013
36,6,0.013
b7,6,0.01
16,6,0.01
46,6,0.009
56/6,6,0.009
5/5,6,0.008
57/6,6,0.007
37,6,0.007
26,6,0.005
b6,6,0.004
7,6,0.004
17,6,0.004
264,6,0.004
365,6,0.003
364,6,0.003
L7,6,0.003
464,6,0.002
57/5,6,0.002
565/6,6,0.002
564,6,0.002
665,6,0.002
265,6,0.002
543/6,6,0.002
57,6,0.002
5/3,6,0.001
D47,6,0.001
